"","variables","return_values_low","return_values_med","return_values_high","avg_values_low","avg_values_med","avg_values_high"
"1","Home_Team",3.50199017388554e-05,0.0147204210552791,7.14397312534359e-10,1.56824835824977e-23,3.0372977700917e-10,1.60039611374144e-38
"2","Away_Team",0.718344170156753,0.883684442972296,0.255958629562491,0.611262768397598,0.0930463818704294,0.0285759202559595
"3","StarScore",0.270310316761509,0.675312063662556,0.795520535806921,0.0773892653636693,0.0200151055023944,5.39092334054959e-12
"4","Overall_PCT",0.376311826584834,0.907415504610421,0.541662526377525,0.0432596214530485,0.427267141240774,0.484371905451251
"5","Overall_Streak",0.737443650783017,0.798781977626031,0.727677228764615,0.32341229495707,0.0343749561910597,0.486807731224602
"6","Past_Overall_PCT",0.012380065110892,0.90151792987826,0.726416653902498,0.0548874097489455,0.317468187583655,0.0851921504906111
"7","Article_Search_Overall",0.155863068752841,0.535967261405006,0.749630667363158,0.00788400209392262,0.104812616273862,2.70484740195449e-14
"8","National_TV",0.0107276705030779,0.733853811324696,0.417521727562058,0.0181822489309043,0.0418052392854231,4.59276795776757e-13
"9","Holiday.Weekend",0.185568715280697,0.414222933602864,0.650501152616888,0.806783415627394,0.58146026736353,0.181674539368618
"10","Afternoon",0.216787704894877,0.761696788230472,0.961071437331282,0.0534520093077836,0.429843005724572,8.41766296150848e-08
