"","variables","return_values_low","return_values_med","return_values_high","avg_values_low","avg_values_med","avg_values_high"
"1","Home_Team",0.27677429704513,0.196890671046505,0.365232866118638,0.599449767095469,0.395859315066614,0.707236503492007
"2","Away_Team",0.131216463320909,0.106500628029723,0.157986463001437,0.141522949626304,0.196826745537319,0.206551024084604
"3","StarScore",0.00649445170839841,0.000901651920811541,0.000320511089779764,0.0165841168803099,0.0274342690553729,0.203005528930942
"4","Overall_PCT",0.00418805425403984,6.95370890421757e-05,0.00177630093184325,0.0216663585170816,0.00323505357053967,0.00233141855649909
"5","Overall_Streak",0.000602423262739636,0.000334061970971667,0.000578613985490413,0.00521473281766262,0.0227496737204447,0.00230556122443541
"6","Past_Overall_PCT",0.0329854816000236,7.87246130116659e-05,0.000584206071043842,0.0195672788553445,0.00512483923095484,0.0140433591093147
"7","Article_Search_Overall",0.0107402921302513,0.00196754216871697,0.000485998129310963,0.0371453559129356,0.0134345303121901,0.241595666930746
"8","National_TV",0.034302971354895,0.000594178451393654,0.00313244908437621,0.0294683274589923,0.0210757098640312,0.221177014937274
"9","Holiday.Weekend",0.00935246576036343,0.00342161196873938,0.000979320900847003,0.000320688744081474,0.00156113871584723,0.00847871646795016
"10","Afternoon",0.00814626687446858,0.000472702051531962,1.13713938798475e-05,0.0197997535691311,0.00319921669949075,0.128051195541595
