Team,PCT
Indiana Pacers,0.683
Miami Heat,0.659
Toronto Raptors,0.585
Chicago Bulls,0.585
Washington Wizards,0.537
Brooklyn Nets,0.537
Charlotte Hornets,0.524
Atlanta Hawks,0.463
New York Knicks,0.451
Cleveland Cavaliers,0.402
Detroit Pistons,0.354
Boston Celtics,0.305
Orlando Magic,0.28
Philadelphia 76ers,0.232
Milwaukee Bucks,0.183
San Antonio Spurs,0.756
Oklahoma City Thunder,0.72
Los Angeles Clippers,0.695
Houston Rockets,0.659
Portland Trail Blazers,0.659
Golden State Warriors,0.622
Memphis Grizzlies,0.61
Dallas Mavericks,0.598
Phoenix Suns,0.585
Minnesota Timberwolves,0.488
Denver Nuggets,0.439
New Orleans Pelicans,0.415
Sacramento Kings,0.341
Los Angeles Lakers,0.329
Utah Jazz,0.305
