,Article_Num,Team
0,30,Atlanta Hawks
1,109,Boston Celtics
2,29,Brooklyn Nets
3,43,Charlotte Hornets
4,84,Chicago Bulls
5,100,Cleveland Cavaliers
6,98,Dallas Mavericks
7,36,Denver Nuggets
8,33,Detroit Pistons
9,38,Golden State Warriors
10,53,Houston Rockets
11,39,Indiana Pacers
12,45,Los Angeles Clippers
13,87,Los Angeles Lakers
14,51,Memphis Grizzlies
15,43,Miami Heat
16,39,Milwaukee Bucks
17,46,Minnesota Timberwolves
18,35,New Orleans Pelicans
19,88,New York Knicks
20,52,Oklahoma City Thunder
21,31,Orlando Magic
22,70,Philadelphia 76ers
23,28,Phoenix Suns
24,37,Portland Trail Blazers
25,43,Sacramento Kings
26,49,San Antonio Spurs
27,39,Toronto Raptors
28,26,Utah Jazz
29,44,Washington Wizards
