"","Team","PCT","Streak"
"2","Toronto Raptors","0.750",-1
"3","Brooklyn Nets","0.444",-1
"4","Boston Celtics","0.353",2
"5","New York Knicks","0.190",-7
"6","Philadelphia 76ers","0.053",-1
"8","Chicago Bulls","0.632",1
"9","Cleveland Cavaliers","0.611",6
"10","Milwaukee Bucks","0.524",1
"11","Indiana Pacers","0.350",-4
"12","Detroit Pistons","0.158",-10
"14","Washington Wizards","0.722",4
"15","Atlanta Hawks","0.667",5
"16","Miami Heat","0.474",-3
"17","Orlando Magic","0.364",1
"18","Charlotte Hornets","0.250",1
"20","Portland Trail Blazers","0.789",3
"21","Denver Nuggets","0.474",-2
"22","Oklahoma City Thunder","0.316",1
"23","Utah Jazz","0.250",-8
"24","Minnesota Timberwolves","0.222",-4
"26","Golden State Warriors","0.889",11
"27","Los Angeles Clippers","0.722",6
"28","Phoenix Suns","0.600",2
"29","Sacramento Kings","0.526",1
"30","Los Angeles Lakers","0.250",-2
"32","Houston Rockets","0.789",3
"33","Memphis Grizzlies","0.789",-2
"34","San Antonio Spurs","0.737",1
"35","Dallas Mavericks","0.714",-1
"36","New Orleans Pelicans","0.471",-1
