TEAM,TOTAL SCORE
Golden State Warriors,5
New York Knicks,7
Brooklyn Nets,7
Los Angeles Clippers,6
Oklahoma City Thunder,5
Indiana Pacers,4
New Orleans Pelicans,3
Washington Wizards,3
Denver Nuggets,3
Houston Rockets,4
Miami Heat,5
Cleveland Cavaliers,5
Sacramento Kings,3
Chicago Bulls,3
Memphis Grizzlies,4
Portland Trail Blazers,3
Dallas Mavericks,2
San Antonio Spurs,2
Boston Celtics,2
Toronto Raptors,2
Los Angeles Lakers,3
Detroit Pistons,1
Phoenix Suns,1
Milwaukee Bucks,1
Minnesota Timberwolves,1
Charlotte Hornets,1
Atlanta Hawks,1
Utah Jazz,1
Orlando Magic,0
Philadelphia 76ers,0
