Match Flag,overall_avg_price,total_observations,event_id,days_out,away_team,home_team,section_lmh,closing_price,opening_price,total_return,ll
3,319.275597,159,9106794,1,Orlando Magic,New York Knicks,Hig,319.275597,319.275597,0,0
3,386.914872,39,9106795,1,Utah Jazz,New York Knicks,Hig,510.788673,386.914872,32.01577659,1
3,859.45,9,9106796,105,Los Angeles Lakers,Golden State Warrior,Hig,1018.885714,859.45,18.55090046,1
3,398.966977,86,9106797,1,Denver Nuggets,New York Knicks,Hig,611.446964,398.966977,53.2575374,1
3,605.684815,27,9106801,1,Philadelphia 76ers,New York Knicks,Hig,798.9242,605.684815,31.90428094,1
3,1114.256667,6,9106802,96,Los Angeles Clippers,Golden State Warrior,Hig,1146.944286,1114.256667,2.933580742,1
3,572.4268,25,9106804,1,Miami Heat,New York Knicks,Hig,921.93942,572.4268,61.0580462,1
3,572.62383,94,9106805,1,Brooklyn Nets,New York Knicks,Hig,1005.35509,572.62383,75.56990075,1
3,785.476667,6,9106807,81,San Antonio Spurs,Golden State Warrior,Hig,805.455,785.476667,2.543466132,1
3,1597.28945,109,9106808,3,Cleveland Cavaliers,New York Knicks,Hig,2034.655579,1597.28945,27.38177035,1
3,364.991875,16,9106809,1,Brooklyn Nets,Golden State Warrior,Hig,459.811463,364.991875,25.9785476,1
3,402.657778,9,9106810,1,Charlotte Hornets,Golden State Warrior,Hig,562.800476,402.657778,39.77141552,1
3,413.306,15,9106811,1,Utah Jazz,Golden State Warrior,Hig,625.223226,413.306,51.27368729,1
3,538.004818,110,9106812,6,Portland Trail Blazers,New York Knicks,Hig,657.646964,538.004818,22.23811795,1
3,623.25,9,9106813,110,Utah Jazz,Golden State Warrior,Hig,675.196667,623.25,8.334804172,1
3,714.504034,119,9106815,13,Toronto Raptors,New York Knicks,Hig,770.589084,714.504034,7.849507817,1
3,418.272857,14,9106817,1,Orlando Magic,Golden State Warrior,Hig,542.823571,418.272857,29.77738381,1
3,840.843429,105,9106818,15,Dallas Mavericks,New York Knicks,Hig,938.389116,840.843429,11.6009335,1
3,475.230714,14,9106820,3,New Orleans Pelicans,Golden State Warrior,Hig,496.757,475.230714,4.529649571,1
3,658.923333,6,9106821,109,New Orleans Pelicans,Golden State Warrior,Hig,644.006154,658.923333,-2.263871721,0
3,829.598947,114,9106823,18,Phoenix Suns,New York Knicks,Hig,981.086695,829.598947,18.26035924,1
3,547.867,10,9106825,9,Houston Rockets,Golden State Warrior,Hig,697.447143,547.867,27.30227281,1
3,689.728,10,9106827,51,Houston Rockets,Golden State Warrior,Hig,719.737143,689.728,4.350866284,1
3,1041.326667,117,9106828,23,Washington Wizards,New York Knicks,Hig,1204.211694,1041.326667,15.64206816,1
